intentado,1
honrado,1
vociferando,1
abrimos,1
partimos,1
desfraldando,1
ferimos,1
nemeio,1
truculento,1
sexta,1
enfermo,1
quatorze,1
noventa,1
estendia,1
ficavam,1
alongavam,1
ficavanos,1
escondeu,1
mauritânia,1
possuiu,1
povoamos,1
derradeira,1
aventajam,1
esquecera,1
cipro,1
gnido,1
pafos,1
citera,1
massília,2
estéril,1
azenegues,1
pastam,1
gosta,1
abastam,1
disposta,1
inópia,1
climene,1
sanagá,1
arsinário,1
canárias,1
fortunadas,1
entramos,1
hespério,1
hespérides,1
chamadas,1
tomarmos,1
apartamos,1
espanhóis,1
fazerem,1
ventou,1
tornamos,1
jalofo,1
mandinga,1
logramos,1
gambeia,1
dórcadas,1
passamos,3
povoadas,1
irmãs,3
viviam,1
total,1
privadas,1
serviam,1
tranças,1
encrespadas,1
acendiam,1
bívoras,1
encheste,1
gólfão,1
aspérrima,1
leoa,2
batendo,1
notas,1
tocou,1
congo,1
zaire,1
alongo,1
término,1
fixo,1
comece,1
invernos,1
verões,1
calmas,1
ursas,1
banharemse,1
perigosas,1
entendem,1
súbitas,1
trovoadas,1
chuveiros,1
noites,1
tenebrosas,1
bramidos,2
fendem,1
julgam,1
entendidos,1
esquivo,1
sorver,1
presumo,1
enganava,1
vaporzinho,1
rodearse,1
enxergarse,1
iase,1
acrescentando,1
engrossava,1
chupava,1
estavase,1
ondeando,1
espessava,1
sanguessuga,1
veria,1
beiços,1
alimária,1
imprudente,1
fartar,1
chupando,1
engrossa,1
fartou,1
chovendo,1
jacente,1
molhe,1
sabor,1
filósofos,1
passei,1
escrituras,1
signos,1
verdades,1
apressada,1
alvoroçada,1
enxergamos,1
pesadas,1
adereçam,1
amainamos,1
estamos,1
astrolábio,1
invenção,1
desembarcamos,1
espaçosa,1
eousas,1
desejosa,1
pisou,1
detenho,1
compassar,1
semicapro,1
preta,1
mel,1
favos,1
selvagem,1
polifemo,1
começolhe,1
somenos,1
contas,1
soantes,1
